source,title,link,published,summary
https://www.livemint.com/rss/markets,Small-cap stock under  ₹50 declares 20% final dividend in FY26. Details here,https://www.livemint.com/market/stock-market-news/smallcap-stock-under-50-hazoor-multi-projects-declares-20-final-dividend-in-fy26-details-here-11759302845253.html,"Wed, 01 Oct 2025 13:25:06 +0530",Small-cap multibagger stock has been trading in red in the near-term. The stock descended nearly 10 per cent in six months over 94 per cent in one year.
https://www.livemint.com/rss/markets,Earnings Preview: Muted Q2FY26 ahead for IT companies; mid-caps seen outperforming large-caps: Motilal Oswal,https://www.livemint.com/market/stock-market-news/earnings-preview-muted-q2fy26-ahead-for-it-companies-mid-caps-seen-outperforming-large-caps-motilal-oswal-11759302303419.html,"Wed, 01 Oct 2025 13:24:33 +0530","India's tech firms will announce Q2FY26 results next week, with analysts predicting muted growth due to macroeconomic uncertainties. Large-cap IT companies may see 0.3% to 2.4% growth, while mid-caps are expected to outperform."
https://www.livemint.com/rss/markets,European Bank Stocks Still Hold Appeal After Record Winning Run,https://www.livemint.com/market/stock-market-news/european-bank-stocks-still-hold-appeal-after-record-winning-run-11759304720963.html,"Wed, 01 Oct 2025 13:15:20 +0530",European banking stocks have just matched their record quarterly winning run and the good news for bulls is that their performance looks far from stretched.
https://www.livemint.com/rss/markets,How RBI measures will impact Indian banks? Bank Nifty up over 1%,https://www.livemint.com/market/stock-market-news/how-rbi-measures-will-impact-indian-banks-bank-nifty-up-over-1-11759301479480.html,"Wed, 01 Oct 2025 13:14:23 +0530","The Bank Nifty rose over 1% as the RBI introduced measures to improve credit availability while keeping the repo rate at 5.5%. Key banks like Kotak Mahindra, AXIS, ICICI, and HDFC saw gains of 1%-3%. RBI's initiatives aim to enhance lending and lower financing costs."
https://www.livemint.com/rss/markets,Paint sector’s new challengers put to the test in tepid festive season,https://www.livemint.com/market/mark-to-market/birla-opus-jsw-paints-compete-asian-berger-11759301367077.html,"Wed, 01 Oct 2025 13:10:54 +0530","Early Diwali and soft consumer demand are testing India’s paint market, with festive-season sales slower than expected..Meanwhile, challengers like Birla Opus and JSW Paints are pressing on the incumbents—navigating distribution, pricing, and margin pressures amid muted growth."
https://www.livemint.com/rss/markets,"Radhika Gupta advises investors looking to dabble in SIFs: From expected returns, to allocation, evaluation and more",https://www.livemint.com/market/stock-market-news/radhika-gupta-advises-investors-dabble-sifs-expected-returns-allocation-percentage-11759298884175.html,"Wed, 01 Oct 2025 12:39:28 +0530","Edelweiss MF chief Radhika Gupta explained SIFs to followers on social media, noting that the options vary significantly even within the same category. Her advice? Understand your investment needs before allocating funds."
https://www.livemint.com/rss/markets,Smallcap stock below  ₹15 makes a stellar 87% comeback in September after 8-month losing streak. Do you own?,https://www.livemint.com/market/stock-market-news/mercury-trade-links-stock-below-rs-15-makes-a-stellar-87-comeback-in-september-after-8-month-losing-streak-11759299662193.html,"Wed, 01 Oct 2025 12:03:24 +0530","Mercury Trade Links shares surged 87% in September, ending an eight-month losing streak. It continued to rise in October, hitting a 5% upper circuit at  ₹12.61 apiece during Wednesday's trade. This marks the 15th straight day that the stock has been locked at the upper price band level.&nbsp;"
https://in.investing.com/rss/stock_Stocks.rss,Avoid These Common Mistakes When Trading Price Breakouts,https://in.investing.com/analysis/avoid-these-common-mistakes-when-trading-price-breakouts-200630343,"Aug 09, 2025 09:17 GMT",
https://in.investing.com/rss/stock_Stocks.rss,How Today’s Bull Market Compares to the Great Runs of the Past,https://in.investing.com/analysis/how-todays-bull-market-compares-to-the-great-runs-of-the-past-200630342,"Aug 09, 2025 09:13 GMT",
https://in.investing.com/rss/stock_Stocks.rss,"Dotcom Lessons Return: Why Low-Beta, High-Quality Stocks May Shine Again",https://in.investing.com/analysis/dotcom-lessons-return-why-lowbeta-highquality-stocks-may-shine-again-200630276,"Aug 09, 2025 09:09 GMT",
https://in.investing.com/rss/stock_Stocks.rss,Duolingo Stock Targets Up to $600 as Analysts Back AI-Driven Growth Story,https://in.investing.com/analysis/duolingo-stock-targets-up-to-600-as-analysts-back-aidriven-growth-story-200630341,"Aug 08, 2025 20:15 GMT",
https://in.investing.com/rss/stock_Stocks.rss,Tempus AI: Q2 Earnings Mark a Turning Point in AI-Powered Healthcare Strategy,https://in.investing.com/analysis/tempus-ai-q2-earnings-mark-a-turning-point-in-aipowered-healthcare-strategy-200630338,"Aug 08, 2025 14:16 GMT",
https://in.investing.com/rss/stock_Stocks.rss,Take-Two Interactive: Why It's a Strong Buy With Explosive Growth Ahead,https://in.investing.com/analysis/taketwo-interactive-why-its-a-strong-buy-with-explosive-growth-ahead-200630336,"Aug 08, 2025 12:49 GMT",
https://in.investing.com/rss/stock_Stocks.rss,Thematic Portfolio Update: Reassessing Key Holdings in Volatile Market Environment,https://in.investing.com/analysis/thematic-portfolio-update-reassessing-key-holdings-in-volatile-market-environment-200630334,"Aug 08, 2025 12:33 GMT",
https://in.investing.com/rss/stock_Stocks.rss,SoundHound AI: Why Is the Stock Surging After Q2 Earnings?,https://in.investing.com/analysis/soundhound-ai-why-is-the-stock-surging-after-q2-earnings-200630332,"Aug 08, 2025 11:15 GMT",
https://in.investing.com/rss/stock_Stocks.rss,Top 5 Positions You Need to Exit NOW,https://in.investing.com/analysis/top-5-positions-you-need-to-exit-now-200630325,"Aug 08, 2025 08:33 GMT",
https://in.investing.com/rss/stock_Stocks.rss,SAIL Share Fundamental Analysis,https://in.investing.com/analysis/sail-share-fundamental-analysis-200630318,"Aug 08, 2025 05:35 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"Frustration or Opportunity? Maruti, Britannia, Eicher Motors & Bharti Airtel",https://in.investing.com/analysis/frustration-or-opportunity-maruti-britannia-eicher-motors--bharti-airtel-200630209,"Aug 04, 2025 05:45 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Amazon, Starbucks",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-amazon-starbucks-200630103,"Jul 27, 2025 07:01 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"Bull, Bear & Beyond: The Zoo of Market Psychology",https://in.investing.com/analysis/bull-bear--beyond-the-zoo-of-market-psychology-200630021,"Jul 22, 2025 05:05 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Tesla, Intel",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-tesla-intel-200629997,"Jul 20, 2025 13:10 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: JPMorgan Chase, PepsiCo",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-jpmorgan-chase-pepsico-200629879,"Jul 13, 2025 12:55 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Amazon, Tesla",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-amazon-tesla-200629778,"Jul 06, 2025 13:37 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Tesla, Constellation Brands",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-tesla-constellation-brands-200629678,"Jun 29, 2025 12:37 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,Range Compression Nears End – JSW Steel Set for a Move?,https://in.investing.com/analysis/range-compression-nears-end--jsw-steel-set-for-a-move-200629636,"Jun 26, 2025 06:42 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Micron, Nike",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-micron-nike-200629557,"Jun 22, 2025 12:47 GMT",
https://in.investing.com/rss/stock_stock_picks.rss,"1 Stock to Buy, 1 Stock to Sell This Week: Amazon, Lennar",https://in.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-amazon-lennar-200629457,"Jun 15, 2025 13:44 GMT",
